playerID,focusTime1,focusEnvTime1,focusPeoTime1,focusUITime1,jumpCount1,EnvPeo1,EnvUI1,PeoEnv1,PeoUI1,UIEnv1,UIPeo1,focusTime2,focusEnvTime2,focusPeoTime2,focusUITime2,jumpCount2,EnvPeo2,EnvUI2,PeoEnv2,PeoUI2,UIEnv2,UIPeo2,focusTime3,focusEnvTime3,focusPeoTime3,focusUITime3,jumpCount3,EnvPeo3,EnvUI3,PeoEnv3,PeoUI3,UIEnv3,UIPeo3,focusTime4,focusEnvTime4,focusPeoTime4,focusUITime4,jumpCount4,EnvPeo4,EnvUI4,PeoEnv4,PeoUI4,UIEnv4,UIPeo4,focusTime5,focusEnvTime5,focusPeoTime5,focusUITime5,jumpCount5,EnvPeo5,EnvUI5,PeoEnv5,PeoUI5,UIEnv5,UIPeo5,focusTime6,focusEnvTime6,focusPeoTime6,focusUITime6,jumpCount6,EnvPeo6,EnvUI6,PeoEnv6,PeoUI6,UIEnv6,UIPeo6
A13,1626,0.2656826568265683,0.0,0.7343173431734318,36,0.0,0.5,0.0,0.0,0.5,0.0,4415,0.34133635334088336,0.0,0.6586636466591167,120,0.0,0.5,0.0,0.0,0.5,0.0,6968,0.4664179104477612,0.06931687715269805,0.46426521239954077,410,0.22683,0.24634,0.21463,0.03415,0.2561,0.02195,8450,0.3131360946745562,0.004260355029585799,0.682603550295858,225,0.03111,0.46667,0.02222,0.00889,0.47111,0.0,3056,0.24116492146596857,0.01767015706806283,0.7411649214659686,126,0.07937,0.4127,0.07143,0.01587,0.4127,0.00794,320,0.709375,0.0,0.290625,10,0.0,0.5,0.0,0.0,0.5,0.0
A16,1219,0.37653814602132896,0.0,0.623461853978671,31,0.0,0.51613,0.0,0.0,0.48387,0.0,2931,0.47731149778232684,0.0,0.5226885022176732,104,0.0,0.5,0.0,0.0,0.5,0.0,7502,0.4872034124233538,0.15622500666488937,0.3565715809117569,677,0.22895,0.24815,0.21713,0.02954,0.25849,0.01773,8904,0.3208670260557053,0.023809523809523808,0.6553234501347709,468,0.06197,0.43803,0.06197,0.0,0.43803,0.0,2630,0.28060836501901143,0.004182509505703422,0.7152091254752851,126,0.04762,0.45238,0.03968,0.00794,0.45238,0.0,314,0.7070063694267515,0.0,0.2929936305732484,5,0.0,0.6,0.0,0.0,0.4,0.0
A17,1255,0.4788844621513944,0.0,0.5211155378486055,38,0.0,0.5,0.0,0.0,0.5,0.0,3893,0.3799126637554585,0.0,0.6200873362445415,150,0.0,0.5,0.0,0.0,0.5,0.0,6732,0.5322341057635175,0.09610814022578729,0.3716577540106952,532,0.13158,0.3515,0.12782,0.0188,0.35338,0.01692,8902,0.364412491574927,0.02527521905189845,0.6103122893731746,500,0.03,0.468,0.028,0.004,0.468,0.002,3427,0.34782608695652173,0.025094835132769187,0.627079077910709,179,0.02793,0.44693,0.03352,0.02235,0.44134,0.02793,363,0.7878787878787878,0.0,0.21212121212121213,5,0.0,0.6,0.0,0.0,0.4,0.0
A20,900,0.3422222222222222,0.0,0.6577777777777778,30,0.0,0.5,0.0,0.0,0.5,0.0,3683,0.42926961715992396,0.0,0.570730382840076,138,0.0,0.5,0.0,0.0,0.5,0.0,7285,0.5940974605353466,0.0484557309540151,0.3574468085106383,652,0.12883,0.35123,0.12423,0.02301,0.35429,0.0184,8557,0.34229285964707257,0.0065443496552530095,0.6511627906976745,361,0.0277,0.47368,0.0277,0.0,0.47091,0.0,2968,0.28200808625336926,0.01650943396226415,0.7014824797843666,173,0.02312,0.47399,0.0289,0.0,0.46821,0.00578,319,0.7304075235109718,0.0,0.26959247648902823,8,0.0,0.5,0.0,0.0,0.5,0.0
A22,1104,0.26992753623188404,0.0,0.730072463768116,45,0.0,0.51111,0.0,0.0,0.48889,0.0,3526,0.31310266591038005,0.0,0.68689733408962,198,0.0,0.5,0.0,0.0,0.5,0.0,6983,0.444794500930832,0.11628240011456394,0.438923098954604,756,0.16931,0.28571,0.16534,0.04762,0.28836,0.04365,7950,0.3320754716981132,0.011320754716981131,0.6566037735849056,378,0.05291,0.44709,0.05026,0.00265,0.44709,0.0,3990,0.3411027568922306,0.018546365914786967,0.6403508771929824,240,0.05417,0.44583,0.05,0.00417,0.44583,0.0,304,0.680921052631579,0.0,0.3190789473684211,5,0.0,0.6,0.0,0.0,0.4,0.0
A23,1081,0.2858464384828862,0.0,0.7141535615171137,20,0.0,0.5,0.0,0.0,0.5,0.0,3599,0.25729369269241453,0.0,0.7427063073075855,94,0.0,0.5,0.0,0.0,0.5,0.0,10205,0.42302792748652623,0.17648211660950514,0.40048995590396863,828,0.19686,0.25966,0.19082,0.0471,0.26449,0.04106,13388,0.21967433522557514,0.02636689572751718,0.7539587690469077,395,0.02532,0.47595,0.02532,0.0,0.47342,0.0,4380,0.3764840182648402,0.00410958904109589,0.619406392694064,149,0.03356,0.46309,0.03356,0.00671,0.45638,0.00671,328,0.6707317073170732,0.0,0.32926829268292684,5,0.0,0.6,0.0,0.0,0.4,0.0
A24,1155,0.4051948051948052,0.0,0.5948051948051948,68,0.0,0.5,0.0,0.0,0.5,0.0,4216,0.5099620493358634,0.0,0.49003795066413663,206,0.0,0.5,0.0,0.0,0.5,0.0,7826,0.6119345770508561,0.1079734219269103,0.2800920010222336,895,0.2,0.27151,0.19106,0.03352,0.27933,0.02458,13231,0.5208978913158492,0.014209054493235583,0.46489305419091526,941,0.02763,0.46865,0.02657,0.00425,0.46971,0.00319,4667,0.4469680737090208,0.0006428112277694451,0.5523891150632098,273,0.00733,0.49084,0.00366,0.00366,0.49451,0.0,367,0.7929155313351499,0.0,0.20708446866485014,6,0.0,0.5,0.0,0.0,0.5,0.0
A25,849,0.30153121319199055,0.0,0.6984687868080094,26,0.0,0.5,0.0,0.0,0.5,0.0,3027,0.3280475718533201,0.0,0.6719524281466799,62,0.0,0.5,0.0,0.0,0.5,0.0,6792,0.46834511189634864,0.09849823321554771,0.4331566548881037,510,0.20784,0.27451,0.1902,0.02745,0.2902,0.0098,10994,0.2577769692559578,0.00454793523740222,0.73767509550664,329,0.01824,0.48328,0.01824,0.0,0.48024,0.0,4385,0.24561003420752567,0.009806157354618017,0.7445838084378563,139,0.02878,0.46763,0.03597,0.0,0.46043,0.00719,320,0.771875,0.0,0.228125,6,0.0,0.5,0.0,0.0,0.5,0.0
A28,1231,0.39561332250203085,0.0,0.6043866774979691,52,0.0,0.5,0.0,0.0,0.5,0.0,3749,0.384635902907442,0.0,0.615364097092558,112,0.0,0.5,0.0,0.0,0.5,0.0,6933,0.44180008654262226,0.13976633491994808,0.4184335785374297,750,0.19867,0.26533,0.17733,0.04667,0.28667,0.02533,7833,0.34137622877569257,0.0075322354142729475,0.6510915358100344,277,0.06859,0.41516,0.05776,0.02166,0.42599,0.01083,3208,0.2855361596009975,0.012780548628428928,0.7016832917705735,152,0.04605,0.45395,0.03947,0.00658,0.45395,0.0,333,0.5765765765765766,0.0,0.42342342342342343,1,0.0,1.0,0.0,0.0,0.0,0.0
C01,1299,0.45727482678983833,0.0,0.5427251732101617,58,0.0,0.5,0.0,0.0,0.5,0.0,3805,0.45229960578186595,0.0,0.547700394218134,204,0.0,0.5,0.0,0.0,0.5,0.0,7569,0.4581847007530717,0.14599022327916503,0.39582507596776323,542,0.19926,0.27675,0.17528,0.0369,0.29889,0.01292,9903,0.26406139553670605,0.009290114106836313,0.7266484903564576,228,0.0307,0.4693,0.03509,0.0,0.46053,0.00439,3738,0.18004280363830927,0.020331728196896735,0.799625468164794,115,0.06087,0.41739,0.05217,0.02609,0.42609,0.01739,330,0.7121212121212122,0.0,0.2878787878787879,2,0.0,0.5,0.0,0.0,0.5,0.0
