playerID,allCount,posCount,neuCount,negCount,allTime,posTime,neuTime,negTime,focusTime3,focusEnvTime3,focusPeoTime3,focusUITime3,jumpCount3,EnvPeo3,EnvUI3,PeoEnv3,PeoUI3,UIEnv3,UIPeo3,focusTime4,focusEnvTime4,focusPeoTime4,focusUITime4,jumpCount4,EnvPeo4,EnvUI4,PeoEnv4,PeoUI4,UIEnv4,UIPeo4,focusTime5,focusEnvTime5,focusPeoTime5,focusUITime5,jumpCount5,EnvPeo5,EnvUI5,PeoEnv5,PeoUI5,UIEnv5,UIPeo5,time,process,stopTime,stopCount,stopMeanTime,mean,var,standardMean,meanRate,standardVar,varRate,level
C03,38,0.63158,0.18421,0.18421,299.915,0.60742,0.23265,0.15994,9038,0.50840894,0.118610312,0.372980748,1297,0.16654,0.31303,0.16345,0.02236,0.31534,0.01928,10120,0.591007905,0.013833992,0.395158103,1093,0.01555,0.48399,0.01464,0.00091,0.4849,0,3734,0.468130691,0.005623996,0.526245313,387,0.02067,0.47804,0.01809,0.00258,0.48062,0,16.6,0.870001495,3.7,2,1.85,17.67427852,299.8068935,17.60565992,1.0039,235.099765,1.27523,2
C04,39,0.53846,0.28205,0.17949,248.855,0.47238,0.28878,0.23885,6004,0.436875416,0.113091272,0.450033311,476,0.2458,0.20798,0.2437,0.04832,0.20798,0.04622,10359,0.269041413,0.007722753,0.723235834,321,0.01246,0.48598,0.01246,0.00312,0.48287,0.00312,5077,0.168800473,0.010636202,0.820563325,184,0.04348,0.45652,0.04891,0,0.44565,0.00543,14,1,1.2,1,1.2,18.52725151,204.9397775,7.717105321,2.4008,184.8278071,1.10881,2
C05,29,0.75862,0.13793,0.10345,163.229,0.70305,0.19563,0.10132,6788,0.484973483,0.132734237,0.38229228,919,0.13058,0.33297,0.1197,0.04244,0.34276,0.03156,7882,0.675843694,0.022075615,0.30208069,626,0.03195,0.46805,0.03195,0,0.46805,0,3491,0.43597823,0.018905758,0.545116013,261,0.02682,0.47126,0.03065,0,0.46743,0.00383,29.35,1,14.8,6,2.46667,9.876586696,245.026877,14.78232066,0.66814,181.0661103,1.35325,3
C06,36,0.41667,0.33333,0.25,249.589,0.39371,0.33777,0.26853,7389,0.403031533,0.172959805,0.424008662,575,0.19826,0.24522,0.19826,0.05739,0.24348,0.05739,9139,0.307582887,0.020571178,0.671845935,346,0.04624,0.45376,0.04624,0,0.45376,0,4537,0.329072074,0.012783778,0.658144148,206,0.06311,0.43204,0.07282,0,0.42233,0.00971,12.3,0.920001686,0,0,0,20.29163443,213.8246136,4.889439763,4.15009,63.28723627,3.37864,2
C07,36,0.55556,0.16667,0.27778,218.617,0.60901,0.17388,0.21711,7793,0.39715129,0.102912871,0.49993584,717,0.14505,0.30683,0.12831,0.05718,0.32218,0.04045,8965,0.267373118,0.018293363,0.714333519,316,0.03797,0.46203,0.03797,0,0.46203,0,3400,0.289411765,0.028235294,0.682352941,163,0.1227,0.37423,0.11656,0.00613,0.38037,0,23.3,0.755001068,4.9,2,2.45,4.62072317,37.35144525,7.276229858,0.63504,31.56056126,1.18348,2
C08,42,0.5,0.2619,0.2381,233.011,0.50283,0.29548,0.2017,7584,0.540348101,0.057093882,0.402558017,614,0.13844,0.33876,0.12541,0.02932,0.35179,0.01629,10371,0.35416064,0.000771382,0.645067978,736,0.00408,0.49592,0.00543,0,0.49321,0.00136,5580,0.226344086,0.001971326,0.771684588,241,0.0083,0.49378,0.00415,0,0.49378,0,20.9,0.675000787,12.35,5,2.47,5.838370912,78.90155849,5.694166917,1.02532,62.25405273,1.26741,3
C09,40,0.625,0.175,0.2,271.436,0.67511,0.13799,0.1869,8252,0.495879787,0.106277266,0.397842947,793,0.15006,0.32409,0.13997,0.03153,0.33291,0.02144,9092,0.32908051,0.017157941,0.653761549,379,0.02639,0.47493,0.02639,0,0.4723,0,3983,0.250815968,0.009038413,0.740145619,163,0.02454,0.47239,0.02454,0.00613,0.46626,0.00613,11.15,0.680000782,2.1,1,2.1,18.05646783,290.0844053,16.44909274,1.09772,193.9714873,1.4955,2
C10,37,0.54054,0.16216,0.2973,209.823,0.52256,0.19671,0.28073,6495,0.487759815,0.117321016,0.394919169,831,0.16606,0.31047,0.16968,0.02166,0.30686,0.02527,7887,0.407632813,0.017243565,0.575123621,458,0.0262,0.4738,0.0262,0,0.4738,0,2785,0.386714542,0.003231598,0.61005386,190,0.01579,0.48421,0.01579,0,0.48421,0,15.4,0.555000305,8.25,4,2.0625,11.70184518,339.4677254,13.59769306,0.86058,221.6576143,1.5315,3
C11,43,0.32558,0.30233,0.37209,271.907,0.33747,0.34048,0.32205,7648,0.480387029,0.123169456,0.396443515,773,0.18111,0.26003,0.16171,0.06856,0.27943,0.04916,10163,0.324412083,0.020958378,0.654629539,257,0.02724,0.46693,0.02335,0.00778,0.47082,0.00389,3865,0.300129366,0.027684347,0.672186287,158,0.09494,0.40506,0.09494,0,0.40506,0,24.15,1,8.05,4,2.0125,12.67435224,251.557949,10.77134011,1.17667,85.66488196,2.93654,4
C12,41,0.19512,0.29268,0.5122,249.783,0.21389,0.3053,0.48081,8564,0.463101355,0.127860813,0.409037833,572,0.21503,0.25874,0.21678,0.02622,0.25524,0.02797,9467,0.270941164,0.021865427,0.707193409,225,0.03556,0.46667,0.03556,0,0.46222,0,4983,0.224162151,0.002809552,0.773028296,144,0.03472,0.46528,0.04167,0,0.45139,0.00694,18,0.655000687,6.9,1,6.9,11.07781762,123.6937729,11.77877492,0.94049,129.2991074,0.95665,3
